Component,File,Line,Element,Label,Destination,RouteStatus,Priority,RouteHealth
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,241,button,[Empty],Handler: {() => setStep("login")},Action,Medium,Action
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,407,button,{dynamic},,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,512,button,[Icon/Image],,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,257,CreditCard,[CreditCard],,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,317,CreditCard,[CreditCard],,Missing,High,Unknown
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,574,button,[Empty],Handler: {() => setActiveSandbox(s.id)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,607,button,[Empty],Handler: {() => setActiveSandbox(s.id)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,640,button,[Empty],Handler: {() => setActiveSandbox(s.id)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,661,button,[Icon/Image],Handler: {() => {               setActiveSandbox(null);               setMatchAudited(false);               setMatchResult(null);               setQuizStep(0);               setQuizAnswers({});               setReadinessStep(0);               setReadinessAnswers({});               setSupportOutput(null);               setRagAnswer("");               setRagSteps([]);               setHrCandidates([]);             }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,692,button,[Empty],Handler: {() => addFlowNode("Trigger"  "Webhook API Received"  "var(--hive-orange)")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,693,button,[Empty],Handler: {() => addFlowNode("AI Node"  "Sentiment Router"  "var(--neural-blue)")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,694,button,[Empty],Handler: {() => addFlowNode("Action"  "Slack Alerts Node"  "var(--violet)")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,695,button,[Empty],Handler: {clearFlowCanvas},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,701,button,{dynamic},Handler: {runFlowSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,757,button,{dynamic},Handler: {runAgentSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,822,button,[Empty],Handler: {() => setQuizStep(1)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,836,button,[Empty],Handler: {() => {                             setQuizAnswers(prev => ({ ...prev  [question.id]: opt.key }));                             if (quizStep < 3) {                               setQuizStep(quizStep + 1);                             } else {                               submitQuizAnswers();                             }                           }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,883,button,[Empty],Handler: {handleDownloadCert},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,886,button,[Empty],Handler: {() => setQuizStep(0)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,898,button,[Empty],Handler: {() => { setQuizStep(0); setQuizAnswers({}); }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,948,button,[Empty],Handler: {() => auditAction(row.id  "approve")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,949,button,[Empty],Handler: {() => auditAction(row.id  "flag")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,983,button,[Empty],Handler: {() => setReadinessStep(1)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,996,button,[Empty],Handler: {() => {                             setReadinessAnswers(prev => ({ ...prev  [question.id]: opt.score }));                             if (readinessStep < 4) {                               setReadinessStep(readinessStep + 1);                             } else {                               setReadinessStep(5);                             }                           }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1032,button,[Empty],Handler: {downloadReadinessReport},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1035,button,[Empty],Handler: {() => { setReadinessStep(0); setReadinessAnswers({}); }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1116,button,{dynamic},Handler: {() => setSupportText(t.text)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1130,button,{dynamic},Handler: {runSupportSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1184,button,[Empty],Handler: {() => setRagQuery("What are the database backup rules?")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1185,button,[Empty],Handler: {() => setRagQuery("What encryption protocols govern API nodes?")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1186,button,[Empty],Handler: {() => setRagQuery("Who maintains access keys for production storage?")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1189,button,{dynamic},Handler: {runRagSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1243,button,{dynamic},Handler: {runHrSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1266,button,[Empty],Handler: {() => hrAction(c.name  "Shortlisted")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1267,button,[Empty],Handler: {() => hrAction(c.name  "Rejected")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1331,button,[Empty],Handler: {runMatchAudit},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1340,button,[Empty],,Missing,High,Unknown
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,566,Icon,[Icon],,Missing,High,Unknown
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,599,Icon,[Icon],,Missing,High,Unknown
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,632,Icon,[Icon],,Missing,High,Unknown
Breadcrumbs,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/discovery/Breadcrumbs.tsx,29,Link,{dynamic},[Dynamic: item.href],Valid,Low,Unknown
FaqSection,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/discovery/FaqSection.tsx,33,button,[Empty],Handler: {() => setOpenIndex(openIndex === i ? null : i)},Action,Medium,Action
CaseStudiesPreview,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/CaseStudiesPreview.tsx,63,Link,[Empty],/case-studies,Valid,Low,OK
CaseStudiesPreview,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/CaseStudiesPreview.tsx,150,Link,[Icon/Image],[Dynamic: cs.href],Valid,Low,Unknown
FinalCTA,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/FinalCTA.tsx,103,Link,{dynamic},/contact,Valid,Low,OK
FinalCTA,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/FinalCTA.tsx,107,Link,{dynamic},/tools/ai-readiness,Valid,Low,OK
HeroSection,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/HeroSection.tsx,141,Link,{dynamic},/contact,Valid,Low,OK
HeroSection,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/HeroSection.tsx,144,Link,{dynamic},/solutions,Valid,Low,Broken (404)
ServicesOverview,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/ServicesOverview.tsx,160,Link,{dynamic} {dynamic},[Dynamic: service.href],Valid,Low,Unknown
ServicesOverview,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/ServicesOverview.tsx,136,Icon,[Icon],,Missing,High,Unknown
SolutionRecommenderTeaser,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/SolutionRecommenderTeaser.tsx,66,button,{dynamic},Handler: {() => handleSelect(i)},Action,Medium,Action
SolutionRecommenderTeaser,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/SolutionRecommenderTeaser.tsx,111,button,[Icon/Image],Handler: {() => router.push("/tools/solution-finder")},Action,Medium,Action
SolutionsGrid,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/SolutionsGrid.tsx,169,Link,{dynamic},[Dynamic: sol.href],Valid,Low,Unknown
SolutionsGrid,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/SolutionsGrid.tsx,193,Link,{dynamic},/solutions,Valid,Low,Broken (404)
SolutionsGrid,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/SolutionsGrid.tsx,126,Icon,[Icon],,Missing,High,Unknown
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,216,Link,[Icon/Image],/products,Valid,Low,OK
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,233,Link,[Icon/Image],[Dynamic: res.link],Valid,Low,Unknown
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,254,Link,[Icon/Image],[Dynamic: `/industries/${rel}`],Valid,Low,Unknown
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,293,Button,[Empty],,Missing,High,Unknown
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,294,Button,[Empty],,Missing,High,Unknown
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,69,Icon,[Icon],,Missing,High,Unknown
IndustryPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryPageLayout.tsx,21,Link,{dynamic} {dynamic},[Dynamic: `/industries/${s.slug}`],Valid,Low,Unknown
IndustryPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryPageLayout.tsx,85,button,{dynamic},,Missing,High,Unknown
InteractiveIndustryExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/InteractiveIndustryExplorer.tsx,64,button,[Icon/Image],Handler: {() => toggleCategory(cat)},Action,Medium,Action
InteractiveIndustryExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/InteractiveIndustryExplorer.tsx,86,Link,{dynamic},[Dynamic: `/industries/${ind.slug}`],Valid,Low,Unknown
InteractiveIndustryExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/InteractiveIndustryExplorer.tsx,140,Link,[Empty],[Dynamic: `/industries/${ind.slug}`],Valid,Low,Unknown
InteractiveIndustryGlobe,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/InteractiveIndustryGlobe.tsx,174,motion.div,{dynamic} {dynamic},Handler: {() => {                 // All 15 industries are now fully built engines  navigate directly to them                 router.push(`/industries/${node.slug}`);               }},Action,Medium,Action
InteractiveIndustryGlobe,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/InteractiveIndustryGlobe.tsx,200,Icon,[Icon],,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,170,motion.button,[Icon/Image],Handler: {() => setIsOpen(true)},Action,Medium,Action
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,225,button,[Icon/Image],Handler: {() => setIsOpen(false)},Action,Medium,Action
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,239,button,[Icon/Image],,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,329,button,{dynamic},,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,344,button,{dynamic},Handler: {() => handleSend(prompt.text)},Action,Medium,Action
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,375,button,[Icon/Image],,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,376,button,[Icon/Image],,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,377,button,[Icon/Image],,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,379,button,[Icon/Image],Handler: {() => handleSend(input)},Action,Medium,Action
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,402,button,{dynamic} {dynamic},Handler: {() => setActiveTab(tab.id as any)},Action,Medium,Action
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,233,TrackedLink,{dynamic},[Dynamic: link.href],Valid,Medium,Unknown
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,245,button,{dynamic},Handler: {() => setOpenAccordion(openAccordion === category ? null : category)},Action,Medium,Action
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,257,TrackedLink,{dynamic},[Dynamic: link.href],Valid,Medium,Unknown
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,289,TrackedLink,[Icon/Image],[Dynamic: social.href],Valid,Medium,Unknown
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,368,TrackedLink,[Icon/Image],/,Valid,Medium,OK
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,387,TrackedLink,[Empty],/sitemap,Valid,Medium,OK
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,41,TrackedLink,[Icon/Image],/,Valid,Medium,OK
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,52,TrackedLink,{dynamic},[Dynamic: link.href],Valid,Medium,Unknown
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,70,TrackedLink,[Empty],/contact,Valid,Medium,OK
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,71,AnimatedButton,[Empty],,Missing,High,Unknown
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,78,button,[Icon/Image],Handler: {() => setIsMobileMenuOpen(true)},Action,Medium,Action
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,106,button,[Icon/Image],Handler: {() => setIsMobileMenuOpen(false)},Action,Medium,Action
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,116,TrackedLink,{dynamic},[Dynamic: link.href],Valid,Medium,Unknown
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,134,TrackedLink,[Empty],/contact,Valid,Medium,OK
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,135,AnimatedButton,[Empty],,Missing,High,Unknown
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,91,motion.div,[motion.div],Handler: {() => setIsMobileMenuOpen(false)},Action,Medium,Action
HeroEcosystem,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/HeroEcosystem.tsx,59,Link,[Empty],/products,Valid,Low,OK
HeroEcosystem,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/HeroEcosystem.tsx,62,Link,[Empty],/contact,Valid,Low,OK
BenchmarkDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/research/BenchmarkDashboard.tsx,45,button,[Empty],Handler: {() => setActiveBenchmarkId(b.id)},Action,Medium,Action
BenchmarkDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/research/BenchmarkDashboard.tsx,90,Link,[Icon/Image],[Dynamic: `/research/benchmarks/${activeBenchmark.slug}`],Valid,Low,Unknown
BenchmarkDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/research/BenchmarkDashboard.tsx,120,Link,[Empty],[Dynamic: `/research/benchmarks/${activeBenchmark.slug}`],Valid,Low,Unknown
